id,question
31327,"句子“书在桌子上。”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 方位名词：上边、下边、里边、外边、前边、后边、左边、右边、东边、南边、西边、北边
B. 固定短语：东A西B
C. 概数表示法2：用“左右、前后”表示概数
D. 指示代词：这儿、那儿、这里、那里
E. 方位名词：上、下、里、外、前、后、左、右、东、南、西、北
"
31328,"句子“衣服在门后。”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 概数表示法2：用“左右、前后”表示概数
B. 方位名词：上、下、里、外、前、后、左、右、东、南、西、北
C. 固定短语：东A西B
D. 方位名词：上边、下边、里边、外边、前边、后边、左边、右边、东边、南边、西边、北边
E. 指示代词：这儿、那儿、这里、那里
"
31329,"句子“房间里没有人。”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 方位名词：上、下、里、外、前、后、左、右、东、南、西、北
B. 固定短语：东A西B
C. 概数表示法2：用“左右、前后”表示概数
D. 指示代词：这儿、那儿、这里、那里
E. 方位名词：上边、下边、里边、外边、前边、后边、左边、右边、东边、南边、西边、北边
"
31330,"句子“门票不在桌子上。”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 方位名词：上边、下边、里边、外边、前边、后边、左边、右边、东边、南边、西边、北边
B. 概数表示法2：用“左右、前后”表示概数
C. 方位名词：上、下、里、外、前、后、左、右、东、南、西、北
D. 指示代词：这儿、那儿、这里、那里
E. 固定短语：东A西B
"
31331,"句子“他不在楼下，他在楼上。”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 固定短语：东A西B
B. 方位名词：上边、下边、里边、外边、前边、后边、左边、右边、东边、南边、西边、北边
C. 指示代词：这儿、那儿、这里、那里
D. 方位名词：上、下、里、外、前、后、左、右、东、南、西、北
E. 概数表示法2：用“左右、前后”表示概数
"
31332,"句子“门前有很多树。”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 方位名词：上边、下边、里边、外边、前边、后边、左边、右边、东边、南边、西边、北边
B. 指示代词：这儿、那儿、这里、那里
C. 固定短语：东A西B
D. 概数表示法2：用“左右、前后”表示概数
E. 方位名词：上、下、里、外、前、后、左、右、东、南、西、北
"
31333,"句子“楼后有一家医院。”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 固定短语：东A西B
B. 概数表示法2：用“左右、前后”表示概数
C. 方位名词：上、下、里、外、前、后、左、右、东、南、西、北
D. 指示代词：这儿、那儿、这里、那里
E. 方位名词：上边、下边、里边、外边、前边、后边、左边、右边、东边、南边、西边、北边
"
31334,"句子“手机在书包里。”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 概数表示法2：用“左右、前后”表示概数
B. 方位名词：上、下、里、外、前、后、左、右、东、南、西、北
C. 固定短语：东A西B
D. 方位名词：上边、下边、里边、外边、前边、后边、左边、右边、东边、南边、西边、北边
E. 指示代词：这儿、那儿、这里、那里
"
31335,"句子“我在教学楼外等你。”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 指示代词：这儿、那儿、这里、那里
B. 概数表示法2：用“左右、前后”表示概数
C. 固定短语：东A西B
D. 方位名词：上、下、里、外、前、后、左、右、东、南、西、北
E. 方位名词：上边、下边、里边、外边、前边、后边、左边、右边、东边、南边、西边、北边
"
31336,"句子“手机在书包里边。”最适合作为以下哪个语法点的例句？
请只使用选项字母回答。
A. 状语：副词、形容词作状语;表示时间、处所的词语作状语
B. 概数表示法2：用“左右、前后”表示概数
C. 方位名词：上边、下边、里边、外边、前边、后边、左边、右边、东边、南边、西边、北边
D. 指示代词：这儿、那儿、这里、那里
E. 方位名词：上、下、里、外、前、后、左、右、东、南、西、北
"
